doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.372,0.246,0.409,0.534,0.407,0.549,0.409,0.246,0.672,0.246,0.32,0.35,0.35,0.305,0.246,0.195,0.458,0.158,0.409,1,0.246,0.409,0.252
2,0.372,0.399,0.409,0.656,0.701,0.517,0.458,0.271,0.672,0.21,0.32,0.35,0.35,0.305,0.396,0.195,0.458,0.158,0.409,1,0.19,0.409,0.25
3,0.372,0.517,0.341,0.634,0.632,0.517,0.409,0.434,0.549,0.21,0.32,0.35,0.35,0.305,0.41,0.806,0.517,0.136,0.409,0.434,0.21,0.35,0.25
4,0.35,0.532,0.341,0.907,0.527,0.458,0.409,0.448,0.517,0.246,0.291,0.409,0.35,0.365,0.268,0.806,0.517,0.305,0.409,0.506,0.21,0.35,0.25
5,0.35,0.582,0.35,0.907,0.409,0.409,0.409,0.448,0.409,0.246,0.291,0.409,0.35,0.365,0.571,0.092,0.458,0.305,0.409,0.534,0.21,0.35,0.198
6,0.35,0.496,0.35,0.74,0.409,0.35,0.409,0.409,0.409,0.246,0.32,0.423,0.372,0.246,0.571,0.328,0.409,0.305,0.409,0.534,0.154,0.35,0.356
7,0.35,0.652,0.35,0.74,0.409,0.32,0.409,0.409,0.409,0.21,0.371,0.409,0.157,0.246,0.52,0.409,0.409,0.305,0.409,0.458,0.154,0.35,0.377
8,0.35,0.694,0.35,0.693,0.409,0.32,0.409,0.409,0.409,0.21,0.399,0.409,1,0.246,0.555,0.409,0.409,0.246,0.608,0.458,0.154,0.35,0.304
9,0.35,0.694,0.35,0.399,0.409,0.35,0.409,0.409,0.409,0.21,0.399,0.372,1,0.246,0.667,0.409,0.49,0.246,0.633,0.409,0.154,0.35,0.304
10,0.35,0.726,0.291,0.29,0.409,0.368,0.409,0.409,0.409,0.21,0.35,0.409,0.692,0.164,0.667,0.409,0.49,0.246,0.608,0.409,0.21,0.291,0.304
11,0.35,0.726,0.246,0.29,0.409,0.588,0.409,0.409,0.409,0.246,0.35,0.409,0.667,0.164,0.667,0.455,0.549,0.246,0.608,0.409,0.21,0.35,0.304
12,0.305,0.726,0.246,0.424,0.35,0.615,0.409,0.409,0.409,0.246,0.35,0.423,0.667,0.174,0.667,0.409,0.583,0.246,0.608,0.409,0.21,0.291,0.359
13,0.246,0.726,0.246,0.464,0.35,0.443,0.409,0.409,0.409,0.246,0.35,0.423,0.667,0.174,0.667,0.409,0.583,0.246,0.608,0.409,0.21,0.305,0.359
14,0.246,0.667,0.409,0.346,0.35,0.443,0.409,0.409,0.409,0.168,0.35,0.259,0.667,0.215,0.667,0.409,0.517,0.246,0.608,0.372,0.21,0.448,0.416
15,0.246,0.667,0.409,0.619,0.35,0.293,0.409,0.409,0.409,0.716,0.35,0.82,0.667,0.246,0.608,0.409,0.517,0.246,0.608,0.372,0.21,0.497,0.287
16,0.246,0.608,0.409,0.517,0.35,0.229,0.442,0.409,0.409,0.716,0.305,0.735,0.667,0.246,0.608,0.409,0.409,0.246,0.608,0.407,0.1,0.458,0.252
17,0.278,0.608,0.409,0.517,0.409,0.229,0.409,0.409,0.35,0.87,0.305,0.531,0.608,0.246,0.608,0.409,0.409,0.58,0.608,0.407,0.183,0.458,0.252
18,0.214,0.608,0.409,0.517,0.409,0.517,0.409,0.35,0.35,0.536,0.305,0.531,0.608,0.21,0.608,0.409,0.409,0.631,0.608,0.778,0.458,0.458,0.252
19,0.353,0.608,0.409,0.517,0.409,0.517,0.409,0.409,0.35,0.497,0.305,0.549,0.608,0.21,0.608,0.468,0.35,0.608,0.608,0.444,0.608,0.608,0.252
20,0.338,0.583,0.491,0.517,0.409,0.517,0.409,0.409,0.35,0.468,0.305,0.549,0.549,0.21,0.608,0.552,0.35,0.608,0.608,0.472,0.667,0.667,0.252
21,0.338,0.549,0.409,0.517,0.409,0.517,0.409,0.409,0.35,0.409,0.305,0.549,0.458,0.21,0.608,0.515,0.409,0.608,0.549,0.503,0.667,0.667,0.252
22,0.338,0.549,0.409,0.517,0.409,0.458,0.409,0.409,0.35,0.409,0.305,0.549,0.458,0.21,0.49,0.535,0.409,0.549,0.549,0.549,0.667,0.608,0.252
23,0.332,0.549,0.32,0.486,0.409,0.409,0.35,0.409,0.35,0.409,0.246,0.517,0.458,0.154,0.458,0.521,0.409,0.549,0.608,0.608,0.549,0.608,0.252
24,0.458,0.549,0.32,0.576,0.409,0.409,0.35,0.35,0.35,0.409,0.246,0.405,0.458,0.154,0.458,0.647,0.409,0.504,0.549,0.608,0.49,0.608,0.252
25,0.517,0.608,0.32,0.714,0.409,0.248,0.409,0.35,0.305,0.458,0.246,0.371,0.458,0.154,0.458,0.667,0.409,0.504,0.458,0.608,0.458,0.608,0.252
26,0.517,0.549,0.258,0.583,0.409,0.563,0.35,0.35,0.297,0.458,0.246,0.312,0.458,0.246,0.458,0.667,0.772,0.605,0.458,0.608,0.458,0.73,0.252
27,0.458,0.458,0.258,0.583,0.409,0.741,0.35,0.35,0.346,0.486,0.378,0.312,0.458,0.246,0.483,0.667,0.832,0.506,0.458,0.549,0.458,0.658,0.252
28,0.409,0.458,0.35,0.583,0.409,0.741,0.35,0.372,0.346,0.458,0.486,0.307,0.458,0.246,0.483,0.667,0.863,0.35,0.458,0.517,0.458,0.658,0.283
29,0.409,0.458,0.35,0.52,0.409,0.741,0.458,0.563,0.385,0.458,0.593,0.307,0.409,0.246,0.399,0.667,0.754,0.35,0.458,0.486,0.458,0.692,0.279
30,0.409,0.458,0.409,0.52,0.409,0.741,0.517,0.711,0.385,0.458,0.659,0.517,0.409,0.246,0.399,0.608,0.726,0.35,0.458,0.458,0.409,0.631,0.325
31,0.409,0.458,0.409,0.52,0.468,0.741,0.612,0.667,0.372,0.372,0.704,0.517,0.409,0.21,0.458,0.608,0.751,0.35,0.49,0.458,0.409,0.608,0.584
32,0.35,0.458,0.35,0.52,0.375,0.741,0.658,0.667,0.372,0.372,0.652,0.517,0.409,0.21,0.458,0.608,0.692,0.409,0.458,0.409,0.409,0.608,0.549
33,0.35,0.458,0.35,0.52,0.429,0.492,0.588,0.667,0.409,0.409,0.612,0.517,0.409,0.21,0.458,0.549,0.667,0.35,0.458,0.409,0.409,0.608,0.546
34,0.409,0.35,0.399,0.504,0.356,0.409,0.588,0.667,0.409,0.409,0.517,0.458,0.409,0.305,0.458,0.549,0.667,0.35,0.43,0.409,0.409,0.608,0.546
35,0.458,0.399,0.399,0.504,0.506,0.409,0.549,0.667,0.409,0.667,0.517,0.458,0.409,0.305,0.409,0.49,0.608,0.409,0.43,0.409,0.409,0.608,0.579
36,0.458,0.458,0.458,0.473,0.546,0.409,0.517,0.608,0.409,0.667,0.409,0.458,0.409,0.305,0.409,0.49,0.608,0.35,0.43,0.409,0.409,0.608,0.579
37,0.458,0.458,0.458,0.473,0.599,0.409,0.549,0.608,0.409,0.667,0.409,0.458,0.409,0.305,0.409,0.582,0.608,0.35,0.43,0.409,0.409,0.608,0.642
38,0.458,0.458,0.409,0.458,0.874,0.372,0.608,0.608,0.409,0.608,0.409,0.458,0.409,0.305,0.35,0.517,0.549,0.35,0.43,0.372,0.35,0.52,0.682
39,0.409,0.458,0.423,0.458,0.806,0.409,0.608,0.608,0.458,0.608,0.35,0.458,0.35,0.305,0.35,0.517,0.549,0.35,0.368,0.372,0.35,0.486,0.666
40,0.458,0.424,0.5,0.458,0.632,0.49,0.608,0.49,0.507,0.608,0.35,0.366,0.35,0.19,0.362,0.458,0.49,0.35,0.409,0.372,0.35,0.517,0.666
41,0.409,0.392,0.5,0.458,0.632,0.549,0.549,0.49,0.428,0.549,0.305,0.372,0.35,0.19,0.362,0.458,0.49,0.35,0.409,,0.35,0.549,0.662
42,0.409,0.35,0.646,0.563,0.667,0.583,0.49,0.49,0.458,0.35,0.305,0.372,0.35,0.19,0.376,0.458,0.4,0.32,0.409,,0.35,0.608,0.655
43,0.409,0.305,0.646,0.43,0.667,0.583,0.43,0.49,0.458,0.35,0.305,0.372,0.35,0.19,0.626,0.458,0.4,0.275,0.409,,0.305,0.608,0.63
44,0.409,0.305,0.547,0.43,0.667,0.583,0.43,0.473,0.409,0.35,0.305,0.434,0.409,0.19,0.344,0.409,0.429,0.305,0.409,,0.305,0.608,0.6
45,0.409,0.305,0.547,0.43,0.608,0.583,0.43,0.586,0.409,0.35,0.305,0.529,0.35,0.154,0.323,0.409,0.583,0.305,0.409,1,0.305,0.549,0.6
46,0.409,0.305,0.205,0.393,0.608,0.608,0.43,0.586,0.409,0.35,0.21,0.651,0.35,0.154,0.323,0.409,0.549,0.305,0.409,0.409,0.305,0.549,0.6
47,0.409,0.305,0.205,0.511,0.608,0.608,0.291,0.562,0.365,0.32,0.305,0.689,0.35,0.154,0.323,0.409,0.549,0.305,0.409,0.409,0.305,0.475,0.6
48,0.072,0.246,0.276,0.75,0.608,0.608,0.291,0.562,0.365,0.246,0.35,0.845,0.31,0.101,0.323,0.409,0.549,0.409,0.372,0.409,0.372,0.441,0.582
49,0.072,0.305,0.505,0.75,0.608,0.608,0.409,0.667,0.311,0.207,0.363,0.75,0.408,0.101,0.612,0.35,0.549,0.468,0.409,0.409,0.408,0.458,
50,0.15,0.305,0.505,0.613,0.549,0.549,0.409,0.667,0.401,0.228,0.302,0.667,0.409,0.101,0.726,,0.549,0.468,0.371,0.409,0.419,0.458,
51,0.209,0.305,1,0.627,0.517,0.549,0.409,0.667,0.854,0.228,0.302,0.667,0.409,0.1,0.726,,0.458,0.483,0.347,0.409,0.699,0.458,
52,0.209,0.291,1,0.627,0.43,0.458,0.409,0.667,0.854,0.3,0.246,0.608,0.409,0.119,0.726,,0.458,0.422,0.372,0.408,0.608,0.458,
53,0.434,0.246,1,0.627,0.43,0.409,0.409,0.608,0.796,0.3,0.246,0.608,0.409,0.119,0.726,,0.458,0.422,0.309,0.588,0.608,0.424,
54,0.525,0.291,0.449,0.627,0.409,0.409,0.409,0.608,0.496,0.3,0.246,0.608,0.409,0.119,0.726,,0.409,0.422,0.35,0.409,0.608,0.424,
55,0.525,0.35,0.449,0.6,0.409,0.35,0.409,0.608,0.496,0.676,0.305,0.549,0.409,0.119,0.726,,0.35,0.483,0.35,0.409,0.608,0.372,
56,0.409,0.35,0.709,0.526,0.409,0.35,0.409,0.608,0.496,0.676,0.246,0.517,0.409,0.154,0.608,,0.409,0.422,0.409,0.409,0.49,0.396,
57,0.409,0.35,0.667,0.526,0.35,0.35,0.409,0.57,0.496,0.283,0.247,0.458,0.409,0.246,0.458,,0.35,0.422,0.35,0.409,0.49,0.396,
58,0.409,0.35,0.667,0.43,0.35,0.35,0.409,0.475,0.496,0.275,0.283,0.458,0.305,0.246,0.458,,0.35,0.319,0.549,0.409,0.458,0.396,
59,0.409,0.35,0.667,0.43,0.35,0.262,0.409,0.475,0.496,0.275,0.342,0.458,0.305,0.306,0.458,0.305,0.35,0.32,0.608,0.409,0.458,0.473,
60,0.409,0.35,0.667,0.43,0.409,0.246,0.409,0.475,0.472,0.275,0.305,0.458,0.35,0.285,0.409,0.305,0.35,0.258,0.608,0.409,0.458,0.465,
61,0.409,0.305,0.667,0.43,0.409,0.246,0.409,0.458,0.141,0.246,0.305,0.458,0.35,0.295,0.409,0.291,0.35,0.246,0.607,0.409,0.399,0.442,
