doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.524,0.175,0.597,0.881,0.481,0.763,0.597,0.274,0.597,0.176,0.42,0.693,0.597,0.42,0.175,0.127,0.691,0.227,0.597,1,0.079,0.597,0.238
2,0.524,0.175,0.657,0.869,0.522,0.693,0.597,0.274,0.597,0.194,0.342,0.693,0.597,0.42,0.175,0.127,0.691,0.227,0.597,1,0.079,0.597,0.172
3,0.597,0.259,0.597,0.869,0.597,0.693,0.597,0.524,0.597,0.175,0.42,0.693,0.597,0.42,0.175,1,0.881,0.287,0.597,0.846,0.079,0.597,0.083
4,0.597,0.279,0.554,0.818,0.732,0.597,0.597,0.597,0.597,0.079,0.302,0.597,0.597,0.42,0.267,1,0.881,0.693,0.597,0.765,0.079,0.597,0.091
5,0.5,1,0.474,0.818,0.732,0.597,0.597,0.597,0.597,0.079,0.302,0.597,0.597,0.42,1,1,0.789,0.693,0.597,0.765,0.079,0.524,0.091
6,0.428,1,0.474,1,0.597,0.597,0.597,0.597,0.597,0.079,0.56,0.597,0.597,0.42,1,0.845,0.787,0.693,0.733,0.69,0,0.524,0.179
7,0.428,1,0.474,1,0.597,0.484,0.597,0.524,0.597,0.079,0.808,0.597,0.518,0.42,1,0.732,0.789,0.693,0.733,0.69,0,0.524,0.185
8,0.428,1,0.474,1,0.597,0.562,0.69,0.524,0.597,0.079,0.736,0.597,0,0.344,0.907,0.732,0.789,0.524,0.925,0.69,0,0.524,0.185
9,0.524,1,0.474,1,0.597,0.562,0.69,0.524,0.597,0.079,0.597,0.597,,0.248,0.87,0.597,0.881,0.5,0.925,0.693,0,0.524,0.192
10,0.524,0.956,0.474,1,0.597,0.457,0.597,0.597,0.597,0.079,0.597,0.597,0.952,0.167,0.881,0.597,0.881,0.428,0.881,0.693,0,0.524,0.186
11,0.524,0.956,0.474,1,0.597,0.67,0.597,0.597,0.597,0.079,0.597,0.66,0.952,0.167,0.881,0.597,0.881,0.428,0.881,0.763,0,0.428,0.245
12,0.481,0.956,0.474,1,0.693,0.67,0.597,0.524,0.597,0.079,0.597,0.631,0.881,0.167,0.881,0.597,0.881,0.332,0.881,0.76,0,0.428,0.191
13,0.481,0.956,0.524,1,0.597,0.834,0.597,0.524,0.597,0.079,0.597,0.631,0.881,0.087,0.881,0.597,0.881,0.165,0.881,0.76,0,0.5,0.192
14,0.42,0.956,0.524,1,0.597,0.834,0.597,0.524,0.597,0.087,0.597,1,0.881,0.087,0.881,0.597,0.881,0.165,0.881,0.732,0,0.597,0.264
15,0.42,0.956,0.785,0.944,0.69,0.834,0.597,0.524,0.597,1,0.554,1,0.881,0.079,0.881,0.597,0.788,0.165,0.881,0.732,0.072,0.597,0.342
16,0.474,0.956,0.785,0.879,0.69,0.834,0.597,0.524,0.597,1,0.554,0.845,0.881,0.079,0.881,0.597,0.597,0.165,0.881,0.732,0.378,0.597,0.337
17,0.474,0.952,0.785,0.879,0.763,0.834,0.597,0.524,0.524,1,0.455,0.837,0.881,0.079,0.881,0.58,0.69,0.788,0.881,0.732,0.378,0.657,0.337
18,0.562,0.952,0.785,0.782,0.763,0.854,0.597,0.597,0.597,0.786,0.455,0.837,0.881,0.079,0.881,0.58,0.69,0.881,0.881,0.914,0.855,0.688,0.337
19,0.608,0.952,0.785,0.879,0.76,0.854,0.597,0.524,0.597,0.657,0.416,0.856,0.881,0.079,0.881,0.58,0.69,0.881,0.881,0.914,0.881,0.879,0.333
20,0.56,0.881,0.737,0.785,0.76,0.851,0.597,0.524,0.597,0.657,0.344,0.856,0.881,0.079,0.881,0.54,0.69,0.881,0.881,0.914,0.881,0.881,0.328
21,0.481,0.881,0.597,0.785,0.76,0.851,0.597,0.524,0.565,0.657,0.344,0.869,0.881,0.079,0.879,1,0.69,0.879,0.881,0.87,0.881,0.881,0.322
22,0.58,0.881,0.597,0.785,0.76,0.732,0.597,0.524,0.524,0.657,0.344,0.869,0.879,0.079,0.879,1,0.597,0.785,0.881,0.879,0.879,0.881,0.322
23,0.66,0.881,0.597,0.763,0.851,0.732,0.597,0.597,0.524,0.657,0.344,0.866,0.787,0.079,0.879,0.373,0.597,0.785,0.881,0.879,0.879,0.881,0.221
24,0.66,0.881,0.524,0.533,0.693,0.732,0.597,0.597,0.524,0.866,0.274,0.996,0.787,0.079,0.879,0.911,0.597,0.785,0.881,0.879,0.785,0.881,0.179
25,0.597,0.881,0.524,0.535,0.693,0.732,0.597,0.597,0.524,0.869,0.274,0.996,0.787,0,0.879,0.925,0.597,0.879,0.881,0.866,0.657,0.881,0.245
26,0.597,0.881,0.524,0.83,0.693,0.732,0.597,0.597,0.132,0.869,0.342,0.994,0.764,0.175,0.879,0.881,0.879,1,0.879,0.866,0.657,0.948,0.172
27,0.597,0.879,0.524,0.785,0.597,0.833,0.597,0.597,0.132,0.869,0.342,0.994,0.764,0.248,0.879,0.881,0.881,0.867,0.879,0.763,0.657,0.881,0.091
28,0.597,0.879,0.597,0.881,0.597,0.852,0.597,0.56,0.132,0.789,0.342,1,0.764,0.248,0.879,0.881,0.956,0.597,0.879,0.763,0.657,0.881,0.091
29,0.597,0.879,0.597,0.881,0.597,0.852,0.597,0.904,0,0.789,0.537,1,0.834,0.248,0.785,0.881,0.956,0.597,0.879,0.763,0.597,0.87,0.104
30,0.597,0.879,0.657,0.881,0.597,0.852,0.597,0.952,0,0.693,0.534,0.855,0.784,0.248,0.763,0.881,0.881,0.597,0.787,0.693,0.597,0.881,0.138
31,0.597,0.879,0.657,0.881,0.597,0.852,0.66,0.881,0.597,0.597,0.46,0.789,0.66,0.151,0.693,0.881,0.881,0.597,0.787,0.597,0.597,0.881,0.756
32,0.597,0.879,0.657,0.881,0.597,0.852,0.834,0.881,0.597,0.597,0.691,0.789,0.597,0.151,0.693,0.881,0.881,0.597,0.787,0.597,0.597,0.881,0.762
33,0.597,0.787,0.657,0.879,0.508,0.764,0.831,0.881,0.597,0.597,0.558,0.789,0.597,0.151,0.693,0.787,0.881,0.597,0.787,0.597,0.597,0.881,0.809
34,0.597,0.787,0.763,0.866,0.456,0.597,0.831,0.881,0.597,0.597,0.474,0.789,0.69,0.524,0.597,0.787,0.881,0.597,0.787,0.597,0.597,0.881,0.809
35,0.597,0.693,0.785,0.866,0.508,0.597,0.831,0.881,0.597,0.879,0.474,0.785,0.597,0.524,0.597,0.69,0.881,0.597,0.879,0.597,0.597,0.881,0.789
36,0.658,0.597,0.879,0.866,0.508,0.597,0.879,0.881,0.597,0.956,0.474,0.785,0.597,0.524,0.597,0.767,0.879,0.597,0.785,0.597,0.597,0.881,0.789
37,0.597,0.597,0.879,0.787,0.508,0.597,0.879,0.879,0.597,0.956,0.474,0.785,0.597,0.524,0.597,0.956,0.879,0.597,0.785,0.597,0.524,0.881,0.83
38,0.597,0.597,0.879,0.787,0.848,0.597,0.881,0.881,0.565,0.881,0.474,0.785,0.597,0.524,0.631,0.956,0.879,0.597,0.688,0.597,0.524,0.881,0.894
39,0.597,0.597,0.879,0.787,0.848,0.597,0.881,0.881,0.688,0.881,0.474,0.866,0.597,0.524,0.631,0.881,0.879,0.524,0.657,0.597,0.524,0.881,0.997
40,0.597,0.658,0.879,0.69,0.952,0.881,0.881,0.879,0.899,0.881,0.474,0.662,0.597,0.44,0.717,0.879,0.879,0.474,0.735,0.628,0.524,0.881,0.996
41,0.597,0.658,0.879,0.693,0.952,0.881,0.881,0.879,0.834,0.869,0.42,0.662,0.597,0.344,0.717,0.879,0.782,0.474,0.597,,0.524,0.881,0.857
42,0.597,0.597,0.869,0.693,0.952,0.881,0.881,0.866,0.759,0.474,0.42,0.662,0.671,0.079,0,0.879,0.732,0.474,0.597,,0.524,0.881,0.865
43,0.597,0.597,0.869,0.72,0.881,0.881,0.879,0.85,0.688,0.474,0.303,0.662,0.671,0.079,1,0.787,0.732,0.474,0.597,,0.524,0.881,0.865
44,0.597,0.597,0.869,0.785,0.881,0.881,0.879,0.85,0.597,0.474,0.303,0.662,0.597,0.079,0.894,0.597,0.732,0.342,0.597,,0.474,0.879,0.865
45,0.597,0.597,0.869,0.696,0.881,0.881,0.879,0.615,0.597,0.474,0.303,0.662,0.597,0.079,0.894,0.597,0.854,0.342,0.597,1,0.474,0.881,0.865
46,0.565,0.597,0.339,0.723,0.881,0.881,0.879,0.609,0.565,0.474,0.428,0.662,0.599,0,0.894,0.597,0.869,0.342,0.688,1,0.474,0.881,0.863
47,0.565,0.597,0.339,0.432,0.881,0.881,0.729,0.609,0.565,0.474,0.428,1,0.599,0.079,0.894,0.597,0.869,0.524,0.688,1,0.394,0.881,0.863
48,0,0.597,0.792,0.752,0.881,0.881,0.729,0.609,0.565,0.394,0.524,0.816,0.761,0.079,0.894,0.597,0.869,0.597,0.837,1,0.331,0.869,0.867
49,0,0.597,0.792,0.951,0.881,0.881,0.597,0.879,0.659,0.331,0.524,0.881,0.599,0.079,0.947,0.597,0.789,0.597,0.628,1,0.613,0.869,
50,0,0.524,0.792,0.869,0.881,0.881,0.597,0.881,1,0.242,0.524,0.881,0.599,0.079,0.859,,0.787,0.597,0.626,1,0.685,0.869,
51,0.31,0.474,1,0.869,0.881,0.881,0.597,0.881,1,0.242,0.524,0.881,0.599,0,0.956,,0.69,0.597,0.658,1,0.881,0.869,
52,0.31,0.554,1,0.869,0.853,0.693,0.597,0.881,1,0.297,0.452,0.881,0.599,0,0.956,,0.597,0.597,0.658,0.689,0.881,0.869,
53,0.685,0.474,1,0.881,0.762,0.597,0.597,0.881,1,0.297,0.524,0.881,0.597,0,0.956,,0.597,0.524,0.658,0.641,0.881,0.866,
54,0.853,0.42,0.655,0.881,0.69,0.597,0.597,0.881,0.839,0.297,0.524,0.881,0.597,0,0.956,,0.597,0.524,0.597,0.614,0.881,0.866,
