doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.342,0.342,0.421,0.529,0.342,0.63,0.529,0.342,0.375,0.283,0.342,0.421,0.342,0.342,0.254,0.151,0.63,0,0.428,1,0.154,0.342,0.319
2,0.342,0.342,0.421,0.476,0.342,0.63,0.428,0.279,0.375,0.352,0.294,0.421,0.443,0.342,0.254,0.151,0.724,0,0.428,1,0.154,0.436,0.319
3,0.342,0.204,0.342,0.536,0.428,0.63,0.428,0.342,0.342,0.254,0.294,0.421,0.342,0.342,0.254,1,0.724,0,0.428,0.63,0.069,0.342,0.319
4,0.342,0.117,0.342,0.536,0.536,0.428,0.428,0.342,0.342,0.254,0.294,0.476,0.342,0.342,0.254,1,0.724,0.443,0.428,0.63,0.069,0.342,0.315
5,0.342,0.413,0.342,0.536,0.536,0.428,0.63,0.342,0.342,0.254,0.342,0.476,0.342,0.342,0,1,0.724,0.443,0.428,0.63,0.069,0.342,0.315
6,0.342,0.413,0.342,0.536,0.428,0.342,0.63,0.342,0.342,0.254,0.342,0.476,0.342,0.279,1,1,0.63,0.443,0.476,0.529,0.069,0.342,0.315
7,0.342,0.521,0.342,0.536,0.428,0.342,0.63,0.342,0.342,0.254,0.48,0.428,0.457,0.279,1,0.421,0.63,0.443,0.476,0.529,0.154,0.342,0.319
8,0.342,0.521,0.342,1,0.428,0.529,0.63,0.342,0.342,0.154,0.48,0.623,0.605,0.279,0.805,0.421,0.805,0.342,0.731,0.529,0.154,0.342,0.319
9,0.342,0.704,0.342,,0.428,0.63,0.529,0.342,0.342,0.154,0.375,0.623,1,0.279,0.805,0.375,0.805,0.342,0.705,0.529,0.154,0.342,0.319
10,0.342,0.737,0.342,1,0.428,0.63,0.529,0.342,0.342,0.254,0.375,0.428,0.805,0.279,0.805,0.342,0.805,0.342,0.705,0.513,0.069,0.342,0.319
11,0.342,0.805,0.342,1,0.529,0.788,0.529,0.342,0.342,0.154,0.375,0.375,0.805,0.189,0.805,0.342,0.805,0.342,0.705,0.536,0.069,0.342,0.319
12,0.342,0.805,0.342,1,0.529,0.788,0.529,0.342,0.342,0.154,0.375,0.375,0.805,0.189,0.805,0.342,0.705,0.342,0.705,0.536,0.069,0.342,0.319
13,0.342,0.805,0.342,0.661,0.529,0.668,0.476,0.342,0.342,0.154,0.375,0.375,0.805,0.189,0.805,0.443,0.705,0.342,0.705,0.536,0.163,0.342,0.358
14,0.342,0.805,0.342,0.661,0.529,0.668,0.428,0.342,0.342,0.154,0.375,1,0.805,0.189,0.805,0.342,0.63,0.279,0.63,0.536,0.101,0.428,0.538
15,0.342,0.805,0.443,0.63,0.529,0.668,0.428,0.342,0.342,0,0.375,0.712,0.805,0.154,0.805,0.342,0.63,0.279,0.63,0.536,0,0.428,0.335
16,0.342,0.705,0.443,0.63,0.476,0.622,0.428,0.342,0.342,0,0.342,0.712,0.805,0.154,0.899,0.342,0.63,0.279,0.63,0.536,0,0.428,0.335
17,0.342,0.705,0.529,0.63,0.588,0.622,0.428,0.342,0.342,0,0.342,0.63,0.805,0.154,0.705,0.342,0.529,0.63,0.805,0.536,0,0.428,0.335
18,0.386,0.705,0.529,0.63,0.545,0.63,0.428,0.342,0.342,0.664,0.342,0.63,0.805,0.154,0.705,0.342,0.529,0.63,0.805,0.588,0.805,0.428,0.335
19,0.267,0.705,0.529,0.63,0.545,0.63,0.428,0.342,0.342,0.485,0.342,0.63,0.681,0.154,0.705,0.375,0.529,0.73,0.805,0.731,0.805,0.63,0.319
20,0.337,0.705,0.476,0.63,0.545,0.63,0.428,0.342,0.342,0.485,0.342,0.63,0.681,0.154,0.681,0.402,0.529,0.73,0.805,0.731,0.805,0.63,0.319
21,0.337,0.705,0.342,0.63,0.545,0.63,0.428,0.342,0.342,0.485,0.342,0.63,0.681,0.154,0.63,1,0.63,0.73,0.705,0.731,0.805,0.681,0.319
22,0.476,0.705,0.342,0.63,0.588,0.63,0.428,0.342,0.342,0.485,0.342,0.681,0.63,0.154,0.63,1,0.63,0.73,0.705,0.588,0.63,0.681,0.319
23,0.529,0.63,0.342,0.63,0.588,0.63,0.428,0.342,0.342,0.485,0.342,0.681,0.63,0.154,0.63,1,0.529,0.73,0.63,0.63,0.63,0.681,0.275
24,0.63,0.63,0.342,0.561,0.529,0.63,0.428,0.342,0.342,0.529,0.342,1,0.63,0.154,0.63,0.88,0.63,0.588,0.63,0.63,0.63,0.681,0.237
25,0.63,0.63,0.342,1,0.529,0.48,0.428,0.342,0.342,0.588,0.342,1,0.63,0.304,0.63,0.889,0.63,0.588,0.63,0.588,0.63,0.681,0.237
26,0.63,0.63,0.342,1,0.529,0.588,0.428,0.342,0.342,0.588,0.342,1,0.63,0.279,0.63,0.805,0.73,0,0.63,0.588,0.63,0.87,0.237
27,0.428,0.705,0.342,0.681,0.529,0.642,0.342,0.342,0.342,0.588,0.485,1,0.63,0.279,0.63,0.805,0.805,0.63,0.63,0.588,0.536,0.805,0.237
28,0.428,0.561,0.342,0.681,0.529,0.63,0.342,0.342,0.342,0.588,0.485,1,0.63,0.279,0.63,0.805,0.805,0.428,0.63,0.588,0.536,0.805,0.237
29,0.428,0.63,0.428,0.681,0.529,0.63,0.428,1,0.293,0.529,0.566,1,0.536,0.254,0.63,0.805,0.805,0.428,0.63,0.588,0.476,0.791,0.187
30,0.428,0.529,0.529,0.681,0.529,0.63,0.428,0.895,0.293,0.529,0.52,0.751,0.592,0.254,0.588,0.705,0.705,0.428,0.63,0.529,0.428,0.805,0.037
31,0.342,0.63,0.529,0.681,0.485,0.63,0.428,0.805,0.428,0.342,0.595,0.63,0.588,0.254,0.588,0.705,0.705,0.428,0.63,0.529,0.428,0.805,0.367
32,0.342,0.63,0.529,0.681,0.485,0.63,0.536,0.805,0.428,0.342,0.668,0.63,0.529,0.154,0.588,0.705,0.63,0.529,0.63,0.485,0.428,0.805,0.461
33,0.342,0.63,0.529,0.63,0.616,0.63,0.536,0.805,0.428,0.342,0.545,0.63,0.529,0.342,0.428,0.63,0.63,0.428,0.63,0.485,0.428,0.805,0.748
34,0.529,0.63,0.529,0.63,0.616,0.588,0.536,0.805,0.428,0.342,0.375,0.63,0.529,0.342,0.428,0.63,0.63,0.342,0.63,0.485,0.428,0.705,0.748
35,0.63,0.63,0.63,0.63,0.616,0.428,0.7,0.805,0.428,0.63,0.375,0.63,0.428,0.342,0.428,0.529,0.63,0.342,0.63,0.375,0.342,0.705,0.772
36,0.63,0.529,0.63,0.63,0.616,0.428,0.789,0.705,0.342,0.63,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.63,0.375,0.342,0.705,0.772
37,0.63,0.529,0.63,0.63,0.616,0.428,0.789,0.705,0.342,0.783,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.63,0.375,0.342,0.705,0.772
38,0.529,0.529,0.63,0.63,1,0.428,0.789,0.63,0.381,0.705,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.529,0.375,0.342,0.705,0.627
39,0.529,0.529,0.63,0.63,1,0.63,0.789,0.63,0.381,0.705,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.476,0.375,0.342,0.705,0.709
40,0.63,0.48,0.63,0.529,0.889,0.63,0.73,0.63,0.553,0.63,0.342,0.588,0.428,0.342,0.622,0.63,0.63,0.342,0.464,0.375,0.342,0.705,0.729
41,0.529,0.48,0.63,0.529,0.889,0.63,0.63,0.63,0.48,0.63,0.342,0.63,0.443,0.342,0.622,0.63,0.63,0.342,0.588,,0.342,0.705,0.754
42,0.428,0.381,0.764,0.63,0.805,0.7,0.63,0.63,0.428,0.342,0.342,0.63,0.443,0.342,1,0.63,0.48,0.342,0.588,,0.342,0.705,0.754
