doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.106,0.039,0.184,0.207,0.097,0.176,0.216,0.058,0.211,0.029,0.087,0.175,0.108,0.064,0.039,0.106,0.227,0.126,0.171,0.195,0.024,0.127,0.045
2,0.106,0.075,0.188,0.202,0.093,0.16,0.205,0.076,0.198,0.028,0.09,0.184,0.125,0.06,0.067,0.123,0.241,0.123,0.169,0.209,0.027,0.143,0.04
3,0.103,0.089,0.168,0.201,0.205,0.149,0.181,0.138,0.169,0.024,0.094,0.163,0.1,0.053,0.074,0.367,0.253,0.17,0.163,0.202,0.024,0.116,0.037
4,0.096,0.094,0.153,0.224,0.213,0.132,0.183,0.157,0.159,0.029,0.085,0.152,0.112,0.05,0.073,0.36,0.256,0.182,0.16,0.209,0.022,0.114,0.038
5,0.079,0.187,0.137,0.264,0.217,0.105,0.221,0.146,0.144,0.024,0.087,0.176,0.148,0.061,0.167,0.257,0.209,0.11,0.157,0.206,0.022,0.101,0.039
6,0.079,0.184,0.096,0.347,0.219,0.102,0.223,0.141,0.138,0.024,0.126,0.206,0.173,0.044,0.231,0.273,0.193,0.108,0.179,0.188,0.022,0.098,0.073
7,0.072,0.324,0.094,0.359,0.202,0.085,0.227,0.139,0.136,0.024,0.132,0.166,0.267,0.044,0.237,0.204,0.205,0.101,0.248,0.187,0.019,0.083,0.088
8,0.075,0.449,0.089,0.464,0.194,0.15,0.221,0.139,0.13,0.027,0.136,0.179,0.504,0.045,0.442,0.199,0.306,0.089,0.382,0.201,0.017,0.08,0.063
9,0.067,0.614,0.085,0.437,0.18,0.149,0.212,0.14,0.128,0.022,0.133,0.174,0.659,0.044,0.641,0.187,0.396,0.081,0.438,0.213,0.019,0.076,0.062
10,0.067,0.588,0.081,0.438,0.165,0.181,0.194,0.142,0.123,0.024,0.12,0.155,0.662,0.044,0.647,0.165,0.387,0.077,0.437,0.215,0.019,0.072,0.055
11,0.06,0.586,0.081,0.382,0.163,0.248,0.194,0.142,0.155,0.024,0.107,0.13,0.645,0.043,0.655,0.173,0.371,0.071,0.401,0.218,0.017,0.059,0.059
